Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1720000,1.4377977,6.613501,239.33333333333334,27.318001012007397,27.318001012007397,1.0
1730000,1.4377046,6.8558307,321.258064516129,44.78096857763106,44.78096857763106,1.0
1740000,1.4378908,7.137312,299.0,42.13153026384466,42.13153026384466,1.0
1750000,1.4390851,7.4064493,308.8235294117647,45.55594243898111,45.55594243898111,1.0
1760000,1.4393965,7.3575354,279.3888888888889,46.77485795872552,46.77485795872552,1.0
1770000,1.4402925,7.7642446,216.67441860465115,42.90681912546808,42.90681912546808,1.0
1780000,1.4407238,7.9930916,211.6734693877551,44.33720467650161,44.33720467650161,1.0
1790000,1.440779,8.395802,229.25,45.94018265334043,45.94018265334043,1.0
1800000,1.4407661,8.603796,223.82608695652175,48.57542327774895,48.57542327774895,1.0
1810000,1.441762,8.937084,200.0408163265306,47.87540140628815,47.87540140628815,1.0
1820000,1.4405998,9.124401,200.32,51.593841094970706,51.593841094970706,1.0
1830000,1.4387994,9.407741,221.86666666666667,56.86984181404114,56.86984181404114,1.0
1840000,1.4391011,9.550399,196.53846153846155,52.88985030831031,52.88985030831031,1.0
1850000,1.4396228,9.954862,174.54545454545453,52.26621929515492,52.26621929515492,1.0
1860000,1.4406129,10.322655,199.1153846153846,58.44986665248871,58.44986665248871,1.0
1870000,1.4403218,10.694219,167.5084745762712,56.89112191364683,56.89112191364683,1.0
1880000,1.4393344,10.963203,175.48214285714286,57.216825786389805,57.216825786389805,1.0
1890000,1.4382324,11.146429,176.01785714285714,58.100948534513776,58.100948534513776,1.0
1900000,1.4370117,11.538142,180.80392156862746,60.43415819429884,60.43415819429884,1.0
1910000,1.4363302,11.790517,199.73076923076923,65.98142495522133,65.98142495522133,1.0
1920000,1.4348104,12.014778,206.17021276595744,65.83453418853435,65.83453418853435,1.0
1930000,1.4332595,12.200363,192.0,65.14951225202911,65.14951225202911,1.0
1940000,1.4328426,12.613923,259.73809523809524,77.18666942914327,77.18666942914327,1.0
1950000,1.4322081,12.703845,231.29268292682926,71.5239292121515,71.5239292121515,1.0
1960000,1.4322767,12.890414,260.1111111111111,80.75516947110494,80.75516947110494,1.0
1970000,1.4322118,13.344462,235.4090909090909,74.75459319894964,74.75459319894964,1.0
1980000,1.431133,13.543357,228.13333333333333,73.16589078903198,73.16589078903198,1.0
1990000,1.4315151,13.844901,217.4,75.15724619759453,75.15724619759453,1.0
2000000,1.4329826,14.1076975,223.53333333333333,73.10582113265991,73.10582113265991,1.0
2010000,1.4322778,14.335908,265.4871794871795,87.25680239200592,87.25680239200592,1.0
2020000,1.4302782,14.604591,226.3,78.6231780052185,78.6231780052185,1.0
2030000,1.4291826,14.772272,261.6341463414634,84.2525402278435,84.2525402278435,1.0
2040000,1.4291829,15.211866,248.2,83.09125317335129,83.09125317335129,1.0
2050000,1.429666,15.183408,312.03225806451616,94.24877071380615,94.24877071380615,1.0
2060000,1.4298279,15.486422,280.4594594594595,88.75839870854428,88.75839870854428,1.0
2070000,1.4294754,15.829378,277.05882352941177,90.23838482183568,90.23838482183568,1.0
2080000,1.428653,16.117214,305.75,97.6405671685934,97.6405671685934,1.0
2090000,1.4276822,16.571388,291.88235294117646,92.69956210080315,92.69956210080315,1.0
2100000,1.42693,16.626785,326.5,105.27180444399515,105.27180444399515,1.0
2110000,1.426692,16.78843,338.0,108.34968200806648,108.34968200806648,1.0
2120000,1.4276044,17.484085,380.962962962963,117.01444896062215,117.01444896062215,1.0
2130000,1.4275323,17.620611,351.48148148148147,110.89900498920017,110.89900498920017,1.0
